work,book,line,sentence_id,verb_lemma,voice,mood,tense,sbj,obj,pnom,obliques,n_args
Iliad,1,96,2274151b,δίδωμι,active,i,a,,,,,0
Iliad,1,96,2274151b,δίδωμι,active,i,f,,,,,0
Iliad,1,97,2274152,ἀπωθέω,active,i,f,ὁ,Δαναοί|λοιγός,,,3
Iliad,1,98,2274152,δίδωμι,active,n,a,,πατήρ|κόρη,,,2
Iliad,1,99,2274152,ἄγω,active,n,p,,ἑκατόμβη,,εἰς:a:Χρύση,2
Iliad,1,100,2274153,ἱλάσκομαι,middle,p,a,,,,,0
Iliad,1,100,2274153,πείθω,active,o,a,,μιν,,,1
Iliad,1,101,2274154,εἶπον,active,p,a,,,,,0
Iliad,1,101,2274154,ἕζομαι,middle,i,a,ὁ,,,,1
Iliad,1,101,2274155,ἀνίστημι,active,i,a,Ἀγαμέμνων,ὁ,,,2
Iliad,1,103,2274155,ἄχνυμαι,passive,p,p,,,,,0
Iliad,1,104,2274156,πίμπλημι,medio-passive,i,i,φρήν,μένος,,:a:μέγας,3
Iliad,1,104,2274156a,λαμπετάω,active,p,p,,,,,0
Iliad,1,104,2274156a,εἴκω1,active,i,l,ὄσσε,πῦρ,,,2
Iliad,1,105,2274157,ὄσσομαι,medio-passive,p,p,,,,:a:κακός,1
Iliad,1,105,2274157,προσεῖπον,active,i,a,,Κάλχας,,:a:πρώτιστος,2
Iliad,1,106,2274158,εἶπον,active,i,a,,ἐγώ|κρήγυος,,,2
Iliad,1,107,2274159,εἰμί,active,i,p,κακός,σύ,φίλος,:d:φρήν,4
Iliad,1,107,2274159,μαντεύομαι,medio-passive,n,p,,,,,0
Iliad,1,108,2274159a,εἶπον,active,i,a,,,,,0
Iliad,1,108,2274159a,τελέω,active,i,a,,,,,0
Iliad,1,109,2274160,θεοπροπέω,active,p,p,,,,,0
Iliad,1,109,2274160,ἀγορεύω,active,i,p,,,,ἐν:d:Δαναοί,1
Iliad,1,110,2274160,τεύχω,active,i,p,ἑκηβόλος,σφεῖς|ἄλγος,,ἕνεκα:g:ὅδε,4
Iliad,1,112,2274160,ἐθέλω,active,i,i,ἐγώ,,,,1
Iliad,1,112,2274160,δέχομαι,middle,n,a,,ἄποινα,,,1
Iliad,1,112,2274160,βούλομαι,medio-passive,i,p,,,,:a:πολύς,1
Iliad,1,113,2274160,ἔχω,active,n,p,,αὐτός,,,1
Iliad,1,113,2274161,προβέβουλα,active,i,r,,Κλυταιμνήστρη|ἄλοχος,,,2
Iliad,1,114,2274161,εἰμί,active,i,p,,,χείρων,:a:δέμας;:a:φυή;:a:φρήν;:a:ἔργον,5
Iliad,1,116,2274162,ἐθέλω,active,i,p,,,,,0
Iliad,1,116,2274162,δίδωμι,active,n,a,,,,,0
Iliad,1,117,2274163,βούλομαι,medio-passive,i,p,ἐγώ|λαός,,σῶς,,3
Iliad,1,117,2274163,εἰμί,active,n,p,,,σῶς,,1
Iliad,1,117,2274163,ἀπόλλυμι,middle,n,a,,,,,0
Iliad,1,118,2274164,ἑτοιμάζω,active,m,a,,ἐγώ|γέρας,,,2
Iliad,1,119,2274164,εἰμί,active,s,p,,,ἀγέραστος,,1
Iliad,1,119,2274164,εἴκω1,active,i,r,,,,,0
Iliad,1,120,2274165,λεύσσω,active,i,p,πᾶς,ὁ,,,2
Iliad,1,120,2274165,ἔρχομαι,medio-passive,i,p,γέρας,,,,1
Iliad,1,121,2274166,ἀμείβω,medio-passive,i,i,Ἀχιλλεύς,ὁ,,,2
Iliad,1,123,2274167,δίδωμι,active,i,f,Ἀχαιός,σύ|γέρας,,,3
Iliad,1,124,2274168,οἶδα,active,i,r,,ξυνήιος,,,1
Iliad,1,124,2274168,κεῖμαι,medio-passive,p,p,,,,,0
Iliad,1,125,2274169,ἐκπέρθω,active,i,a,,ὁ|πόλις,,,2
Iliad,1,125,2274169,δατέομαι,medio-passive,i,r,ὁ,,,,1
Iliad,1,126,2274169a,ἐπέοικε,active,i,r,,,,,0
Iliad,1,126,2274169a,ἐπαγείρω,active,n,p,λαός,οὗτος,,,2
Iliad,1,127,2274170,προίημι,active,m,a,σύ,ὅδε|θεός,,,3
Iliad,1,128,2274171,ἀποτίνω,active,i,f,Ἀχαιός,,,:d:τριπλόος;:d:τετραπλόος,3
Iliad,1,129,2274171,δίδωμι,active,s,a,Ζεύς,,,,1
Iliad,1,129,2274171,ἐξαλαπάζω,active,n,a,,πόλις,,,1
Iliad,1,130,2274172,ἀπαμείβομαι,medio-passive,p,p,,,,,0
Iliad,1,130,2274172,πρόσφημι,active,i,a,Ἀγαμέμνων,ὁ,,,2
Iliad,1,131,2274173,εἰμί,active,p,p,,,ἀγαθός,,1
Iliad,1,132,2274173,κλέπτω,active,m,p,,,,:d:νόος,1
Iliad,1,132,2274173,παρέρχομαι,middle,i,f,,,,,0
Iliad,1,132,2274173,πείθω,active,i,f,,ἐγώ,,,1
Iliad,1,133,2274174,ἐθέλω,active,i,p,ἐγώ,,,,1
Iliad,1,133,2274174,ἔχω,active,s,p,,γέρας,,,1
Iliad,1,134,2274174,ἧμαι,medio-passive,n,r,ἐγώ,,,,1
Iliad,1,134,2274174,δεύω2,medio-passive,p,p,,,,,0
Iliad,1,134,2274174a,κέλομαι,medio-passive,i,p,,,,,0
Iliad,1,134,2274174a,ἀποδίδωμι,active,n,a,ἐγώ,ὅδε,,,2
Iliad,1,135,2274175,δίδωμι,active,i,f,Ἀχαιός,γέρας,,,2
Iliad,1,136,2274175,ἀραρίσκω,active,p,a,,,,κατά:a:θυμός,1
Iliad,1,136,2274175,εἰμί,middle,i,f,,,ἀντάξιος,,1
Iliad,1,137,2274176,δίδωμι,active,s,a,,,,,0
Iliad,1,137,2274176,αἱρέω,medio-passive,s,a,,γέρας,,,1
Iliad,1,138,2274176,εἶμι,active,p,p,,,,,0
Iliad,1,139,2274176,ἄγω,active,i,f,,,,,0
Iliad,1,139,2274176,αἱρέω,active,p,a,,,,,0
Iliad,1,139,2274177,χολόω,medio-passive,i,t,ὁ,,,,1
Iliad,1,139,2274177,ἱκνέομαι,medio-passive,s,a,,ὅς,,,1
Iliad,1,140,2274178,μεταφράζω,middle,i,f,,οὗτος,,,1
Iliad,1,141,2274178a,ἐρύω1,active,s,a,,ναῦς,,εἰς:a:ἅλς1,2
Iliad,1,142,2274178b,ἀγείρω,active,s,a,,ἐρέτης,,,1
Iliad,1,143,2274178c,τίθημι,active,s,a,,ἑκατόμβη,,,1
Iliad,1,144,2274178d,βαίνω,active,s,a,,Χρυσηίς,,,1
Iliad,1,144,2274179,εἰμί,active,m,p,ἀνήρ|Αἴας|Ἰδομενεύς|Ὀδυσσεύς|σύ,,,,5
Iliad,1,147,2274179,ἱλάσκομαι,middle,s,a,,Ἑκάεργος,,:d:ἐγώ,2
Iliad,1,147,2274179,ῥέζω,active,p,a,,ἱερός,,,1
Iliad,1,148,2274180,εἶδον,active,p,a,,,,,0
Iliad,1,148,2274180,πρόσφημι,active,i,a,Ἀχιλλεύς,ὁ,,,2
Iliad,1,149,2274181,ἐπιέννυμι,passive,p,r,,ἀναίδεια,,,1
Iliad,1,150,2274181,πείθω,medio-passive,s,p,τις,ἔπος,,,2
Iliad,1,151,2274181,ἔρχομαι,active,n,a,,ὁδός,,,1
Iliad,1,151,2274181,μάχομαι,medio-passive,n,p,,ἀνήρ,,,1
Iliad,1,152,2274182,ἔρχομαι,active,i,a,ἐγώ,,,ἕνεκα:g:αἰχμητής,2
Iliad,1,153,2274182,μάχομαι,middle,p,f,,,,,0
Iliad,1,153,2274182,εἰμί,active,i,p,,,αἴτιος,:d:ἐγώ,2
Iliad,1,154,2274183,ἐλαύνω,active,i,a,,,,,0
Iliad,1,156,2274183,δηλέομαι,medio-passive,i,a,,καρπός1,,ἐν:d:Φθία,2
Iliad,1,158,2274184,ἕπομαι,middle,i,a,,σύ,,,1
Iliad,1,158,2274184,χαίρω,active,s,p,σύ,,,,1
Iliad,1,159,2274184,ἄρνυμαι,medio-passive,p,p,,τιμή|Μενέλαος|σύ,,πρός:g:Τρώς,4
Iliad,1,160,2274185,μετατρέπομαι,medio-passive,i,p,,,,,0
Iliad,1,160,2274185a,ἀλεγίζω,active,i,p,,,,,0
Iliad,1,161,2274186,ἀφαιρέω,middle,n,f,,ἐγώ|γέρας,,,2
Iliad,1,161,2274186,ἀπειλέω,active,i,p,,,,,0
Iliad,1,162,2274186,μογέω,active,i,a,,πολύς,,ἐπί:d:ὅς,2
Iliad,1,162,2274186,δίδωμι,active,i,a,υἱός,ἐγώ,,,2
Iliad,1,163,2274187,ἔχω,active,i,p,,γέρας,,,1
Iliad,1,164,2274187,ἐκπέρθω,active,s,a,Ἀχαιός,πτολίεθρον,,,2
Iliad,1,164,2274187,ναίω,medio-passive,p,p,,,,,0
Iliad,1,166,2274188,διέπω,active,i,p,χείρ,πλείων,,,2
Iliad,1,166,2274189,ἱκνέομαι,medio-passive,s,a,δασμός,,,,1
Iliad,1,168,2274189a,ἔρχομαι,medio-passive,i,p,ἐγώ,,,ἐπί:a:ναῦς,2
Iliad,1,168,2274189a,ἔχω,active,p,p,,,,,0
Iliad,1,168,2274189a,κάμνω,active,s,a,,,,,0
Iliad,1,168,2274189a,πολεμίζω,active,p,p,,,,,0
Iliad,1,169,2274190,εἶμι,active,i,p,,Φθία,,,1
Iliad,1,169,2274190,εἰμί,active,i,p,,,φέρτατος,,1
Iliad,1,170,2274190,εἶμι,active,n,p,,,,σύν:d:ναῦς,1
Iliad,1,170,2274190a,οἴομαι,active,i,p,,,,,0
Iliad,1,171,2274190a,εἰμί,active,p,p,,,ἄτιμος,,1
Iliad,1,171,2274190a,ἀφύσσω,active,n,f,,σύ|ἄφενος|πλοῦτος,,,3
Iliad,1,172,2274191,ἀμείβω,medio-passive,i,i,Ἀγαμέμνων,ὁ,,,2
Iliad,1,173,2274192,φεύγω,active,m,p,,,,,0
Iliad,1,173,2274192,ἐπισεύω,medio-passive,i,p,θυμός,,,,1
Iliad,1,174,2274192a,λίσσομαι,medio-passive,i,p,ἐγώ,,,,1
Iliad,1,174,2274192a,μένω,active,n,p,σύ,,,ἕνεκα:g:ἐγώ,2
Iliad,1,174,2274193,παρά,active,i,p,,ἐγώ,,,1
Iliad,1,175,2274193,τιμάω,active,s,a,ὅς,ἐγώ,,,2
