lemma,frequency,hdbscan_cluster,leiden_cluster
καταδαρθάνω,5,-1,31
Ναυσίθοος,5,-1,34
ἠλάκατα,5,13,31
ῥυπάω,5,-1,44
παίζω,5,-1,52
εὐφροσύνη,5,-1,29
ταλαπείριος,5,-1,45
πάσσων,5,-1,7
Ποντόνοος,5,45,32
ἀνία,5,-1,15
Λωτοφάγοι,5,-1,49
κέλλω,5,-1,35
ἐκπίνω,5,-1,28
Αἴολος,5,-1,34
βρώμη,5,14,32
συφεός,5,-1,52
δρηστήρ,5,-1,20
ἀλητεύω,5,-1,37
πτωχεύω,5,-1,37
Μελανθεύς,5,-1,20
ἀμφιπολεύω,5,-1,44
Φιλοίτιος,5,-1,8
Κτήσιππος,5,-1,2
