lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label
ἐμπνέω,12,lsj,"blow; breathe upon; to breathe upon; breathe into, play",-1,(outlier),6,"wind, water, pour, sea",13,"pour, wash, oil, breathe",22,"pour, breathe, flow, spread",45,"breathe, disperse, sprinkle, spread"
ὕπατος,12,lsj,"highest, uppermost; above; the very top; lowest",93,"set, beneath, lowest, high",7,"come, return, near, arrive",15,"near, nigh, far, hand",25,"beneath, lowest, hindmost, atop",49,"beneath, lowest, high, aloft"
κάπρος,12,lsj,"boar; wild boar; sow; sea-fish, Capros aper",135,"herd, serpent, boar, wolf",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
ἰότης,12,lsj,"will, desire; by the will; will; for the sake of",13,"desire, want, wish, need",9,"desire, noble, strength, easy",19,"desire, wish, love, want",33,"wish, need, want, desire",65,"wish, need, want, desire"
ἔναρα,12,lsj,"arms and trappings of a slain foe, spoils; taken from; spoil, booty",74,"slay, slaughter, kill, sacrifice",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",39,"slay, kill, destroy, waste",76,"slay, slaughter, kill, sacrifice"
ἀπολήγω,12,lsj,"leave off, desist from; leave off; cease, desist; fall",84,"leave, retire, gone, withdraw",8,"flee, pass, away, drive",18,"flee, fear, away, hold",31,"hold, leave, stay, retire",62,"leave, retire, away, ward"
κατέδω,12,lsj,"eat up, devour; eat up; eating",63,"eat, devour, food, meal",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",16,"eat, meal, food, devour",35,"eat, food, meal, devour"
αἰσχύνω,12,lsj,"make ugly, disfigure; give; a bad form; dishonour, tarnish",-1,(outlier),10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",78,"dishonour, pity, disgrace, reproach"
εἰσάγω,12,lsj,"lead in; into; into oneʼs dwelling, introduce; he led",-1,(outlier),8,"flee, pass, away, drive",17,"pass, lead, come, throw",30,"pass, lead, come, throw",60,"lead, end, shut, fulfil"
φυτεύω,12,lsj,"of the thing planted, plant; plant for oneself; beget, engender; father",105,"born, beget, bring forth, engender",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",5,"son, child, mother, father"
ἐφάλλομαι,12,lsj,spring upon; attack; having leaped upon,117,"leap, rush, run, chase",12,"shout, speak, rouse, speech",23,"rouse, stir, anger, fight",48,"rouse, stir, dance, song",95,"spring, dart, rush, leap"
τελέθω,12,lsj,come into being; to be; become,105,"born, beget, bring forth, engender",7,"come, return, near, arrive",16,"come, return, hither, arrive",29,"come, arrive, home, house",56,"come, arrive, reach, born"
ἐναντίβιος,12,agwn,"being below the horizon: ""the moon is set""",-1,(outlier),5,"day, funeral, black, cloud",12,"funeral, long, day, time",20,"funeral, dead, snow, kindle",42,"star, olympus, heaven, middle"
κρύπτω,12,lsj,"hide, cover; hide; cover; having cloaked his",115,"hide, cover, shield, conceal",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",13,"helmet, hair, head, cloth",29,"cloth, garment, skin, cloak"
ὀπυίω,12,lsj,"marry, take to wife; marry; wedded; to be married",110,"wife, marry, marriage, wedded",1,"son, chariot, lord, old",2,"old, mother, son, wife",2,"old, son, mother, wife",4,"wife, sister, brother, marry"
νευρά,12,lsj,string; cord of sinew; bowstring; harpstring,141,"strap, cord, thong, bar",4,"spear, bronze, eat, silver",9,"spear, bronze, breast, arrow",12,"spear, arrow, sword, girdle",28,"spear, sword, girdle, belt"
ἐδωδή,12,lsj,"food, meat, victuals; forage, fodder; bait; act of eating",63,"eat, devour, food, meal",4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",16,"eat, meal, food, devour",35,"eat, food, meal, devour"
ληίς,12,lsj (relaxed match),"booty, spoil; booty; cattle, stock",-1,(outlier),4,"spear, bronze, eat, silver",10,"eat, tree, heracles, meal",15,"heracles, bird, fish, fly",34,"heracles, bird, fish, fly"
Ἐρινύς,12,lsj,"the Erinys; guilt, punishment invoked; curses from; frenzy",98,"anger, wrath, angry, rage",10,"wound, destroy, slay, kill",21,"wound, destroy, slay, cut",41,"destiny, dishonour, wretched, hateful",79,"destiny, wretched, hateful, wrath"
βιάω,12,lsj,constrain; to be forcibly driven; will; yield to force,88,"force, feeble, forcibly, powerless",9,"desire, noble, strength, easy",20,"noble, strength, swift, little",38,"strength, force, high, courage",73,"strength, force, heavy, feeble"
