lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y,gloss,gloss_source
ἔμπας,35,84,21,77,3,2.7392502,7.0499725,"alike; in any case; anyhow, as things are; as it is",lsj
ἔμπεδος,51,-1,0,19,54,2.0725038,8.012316,"in the ground, firm-set; steadfast; sure and certain; cleaving",lsj
ἔμπλεος,6,203,1,8,98,0.7516943,12.84427,"quite full of; in full measure, complete",lsj
ἔναρα,12,118,1,41,66,4.037457,12.459418,"arms and trappings of a slain foe, spoils; taken from; spoil, booty",lsj
ἔνδοθεν,6,91,21,1,52,1.9507978,7.0683746,"from within; from inside; of oneself, by oneʼs own doing; of oneself",lsj
ἔνδοθι,13,-1,21,1,52,1.997759,6.8371024,"within, at home",lsj
ἔνδον,42,92,21,1,52,1.8912219,7.068159,within; in oneʼs heart; at home; of the house,lsj
ἔνειμι,11,174,18,18,23,0.5744413,13.303104,sum; to be in; to be among; is in,lsj
ἔνερθε,11,141,21,1,52,1.8702712,6.670819,"from beneath, up from below; beneath, below; below; from below",lsj
ἔνθεν,38,-1,31,34,113,3.129299,6.3410487,thence; on the one side; on this side; on that,lsj
ἔντεα,32,112,1,41,64,4.467673,12.545669,"fighting gear, arms, armour; coat of mail, corslet; furniture, appliances, tackle; rigging",lsj
ἔντερον,6,112,1,41,66,4.3973694,12.615757,"piece of the guts; intestines; gut; guts, bowels",lsj
ἔντοσθε,18,-1,21,1,52,1.8424755,6.7004204,from within,lsj
ἔντοσθεν,6,-1,21,1,52,1.8754717,6.721865,,none
ἔξειμι2,5,-1,4,27,21,1.9240876,6.863554,sum; issue,lsj (homograph 2)
ἔξοχος,33,94,2,44,134,3.3852355,7.6808763,"standing out, jutting; prominent above; eminent, excellent; eminentissimus",lsj
ἔξω,9,92,21,1,52,1.846142,6.97557,out; out of; outside; prominency,lsj
ἔοικα,120,68,8,74,149,0.9705882,10.580006,"to be like; it was opportune; will be like; to be like, look like",lsj
ἔπαλξις,10,166,11,52,144,4.6066594,11.048022,"means of defence; battlements; line of battlements, parapet; crenellations",lsj
ἔπειμι,7,174,18,18,23,0.5454672,13.436796,"sum; to be upon; to be upon, be set upon; to be attached",lsj
ἔπειμι2,16,225,18,18,104,0.05118662,14.0213785,"ibo; come upon; come upon, approach; come against, attack",lsj (homograph 2)
ἔπειτα,479,-1,21,77,3,2.9855487,6.766684,"thereupon, thereafter, then; thereafter, afterwards; hereafter; just then, at the time",lsj
ἔπος,414,218,9,22,26,0.1592824,10.688714,"vácas; word; utterance; that which is uttered in words, speech, tale",lsj
ἔραζε,9,67,10,0,39,1.1655263,10.883434,,none
ἔραμαι,7,229,34,3,137,0.34190384,12.263131,"love; desire passionately, lust after; desire eagerly",lsj
ἔργνυμι,9,-1,7,47,50,0.518712,14.158233,,none
ἔργον,210,-1,9,9,99,1.9665949,10.859879,weorc; varəza; work; tasks,lsj
ἔργω,22,67,10,0,39,1.1282471,10.9664,shut in; shut out; vrajás; urgeo,lsj
ἔρδω,48,-1,9,22,125,1.3477228,11.0743475,to do; harm; let; practise,lsj
ἔριον,5,118,1,41,66,3.9708986,12.504927,wool; flocks of wool; cotton; web,lsj
ἔρις,52,-1,19,4,78,3.428662,11.378119,"strife, quarrel, contention; battle-strife; quarrel, strife; discord",lsj
ἔριφος,6,56,6,46,10,5.5715528,10.19637,kid; Haedi,lsj
ἔρνος,5,-1,6,46,146,5.415703,10.452042,"young sprout, shoot; a young plant; wreaths; scion, offspring",lsj
ἔρομαι,40,234,9,22,26,0.15238647,11.129659,"ask, inquire; learn by inquiry; ask after; for",lsj
ἔρος,26,67,10,0,39,1.1681306,10.990242,"love, desire; Eros",lsj
ἔρρω,13,70,31,34,131,4.0316505,6.8070188,go slowly; limping; wandering; come to oneʼs own harm,lsj
ἔρσα,5,67,10,0,39,1.0977901,10.907945,,none
ἔρχομαι,715,226,7,47,50,-0.053433105,14.067081,"ibo; start, set out; was setting out; was",lsj
ἔσθω,15,82,6,45,45,2.9300647,12.926616,"eat; eat up; feed on, devour",lsj
ἔσχατος,6,-1,2,2,40,3.3787873,7.9391704,"farthest, uttermost, extreme; hindmost; at the end of the lines; farthest part of",lsj
ἔσω,6,92,21,1,52,1.8018698,7.022047,,none
ἔτης,9,-1,10,0,115,4.86783,8.936445,clansmen; kinsmen and dependents of a great house; citizen; a private citizen,lsj
ἔτος,22,19,31,79,79,3.609063,10.316891,year; years; annually; yearly,lsj
ἔτυμος,6,35,2,2,25,3.7317557,8.110705,true; natural; the true sense; according to its origin,lsj
ἔχθω,5,231,4,27,21,0.40910104,11.71183,hate,lsj
ἔχω,718,-1,3,42,42,0.5289019,13.224683,check; seĝh; sáhate; sigis,lsj
ἕδνον,12,67,10,0,39,1.1723475,10.936198,bride-price; wedding-gifts; portion; by those of her own household,lsj
ἕδος,14,170,14,12,95,4.812912,11.088601,"sitting-place; seat, stool; straight-backed chair; seat, abode, dwelling-place",lsj
ἕδρα,12,-1,14,12,95,4.647876,11.017701,"sitting-place; seat, chair, stool, bench; seat of honour; throne",lsj
ἕζομαι,93,155,14,12,95,0.93681914,14.304191,"seat oneself, sit; sank; crouch; sink",lsj
ἕκαστος,220,168,10,0,16,1.7698548,10.36392,each; every one; every single; all and each severally,lsj
ἕκηλος,16,84,21,77,3,2.6195502,7.07724,"at rest, at oneʼs ease; at your ease; without let; hindrance",lsj
ἕκτωρ,8,24,5,15,76,3.386906,6.4329004,"holding fast; hair-net; Hector, the prop; stay",lsj
ἕλιξ,14,30,6,46,10,4.338136,10.220215,"twisted, curved; twisted, crumpled horns; rolling; tangled",lsj
ἕλκος,22,126,1,41,66,4.259433,12.246587,"wound; festering wound, sore, ulcer; the festering bite; plague-ulcer",lsj
ἕλκω,65,223,7,76,53,0.65489113,13.563545,"sulcus; velkù; draw, drag; began to drag",lsj
ἕλωρ,8,105,26,28,29,3.5378,11.493323,"spoil, prey; penalty for the slaughter",lsj
ἕνδεκα,5,117,31,79,79,2.6178238,5.6134353,"eleven; the Eleven, the Police-Commissioners",lsj
ἕννυμι,60,155,14,29,28,1.0772507,14.055158,ves; vestis; váste; put clothes on,lsj
ἕξ,16,116,31,79,79,2.6281333,5.6102676,six; the six; xšvaš; sex,lsj
ἕπομαι,183,-1,10,0,16,1.7179971,10.389832,sacate; sequor; sèkti; saśc(a)-),lsj
ἕπω,6,155,14,12,95,1.1166315,14.120723,"to be about, busy oneself with; sapati; saparyati; sepelio",lsj
ἕρκος,31,-1,26,28,11,4.2486653,12.179155,"fence, enclosure; the place enclosed, court-yard; enclosure; wall for defence",lsj
ἕρμα,5,129,26,28,11,4.2131267,12.352988,"prop, support; props; prop; stay",lsj
ἕσπερος,7,18,32,65,65,3.758357,10.411172,at evening; evening; of darkness; eventide,lsj
ἕωθεν,7,101,21,1,52,2.7901618,6.514793,from morn; at earliest dawn; early,lsj
Ἐννοσίγαιος,23,43,10,0,16,1.7904909,9.808827,Earth-shaker,lsj
Ἐνοσίχθων,40,43,10,0,16,1.703624,9.872402,Earth-shaker; earth-stirring,lsj
Ἐνυάλιος,9,-1,19,4,78,6.756595,8.535754,the Warlike; temple of; battle; battle-cry,lsj
Ἐπειός,22,-1,5,24,94,5.6901298,8.063303,,none
Ἐρινύς,10,27,6,46,10,6.162632,8.937258,"the Erinys; guilt, punishment invoked; curses from; frenzy",lsj
Ἐφύρα,7,-1,5,24,94,5.986191,7.256929,Ephyra,lsj
Ἑκάβη,8,20,5,15,48,6.6967225,8.469138,,none
Ἑκάεργος,11,-1,5,15,48,6.301373,8.735182,nine,lsj
Ἑλένη,57,20,5,15,48,6.6439204,8.46248,,none
Ἑλλάς,10,9,5,24,94,5.8094807,7.1996427,Hellas; part of Phthiotis; Northern Greece; Greece,lsj
Ἑλλήσποντος,11,78,22,36,8,4.5401926,10.120584,Hellespont; sea of Helle; the Dardanelles; the adjacent country,lsj
Ἑρμῆς,34,-1,5,15,76,7.243149,8.192188,Hermes; pillar surmounted by bust; Dritter Bericht; Mercury,lsj
Ἔρεβος,6,12,5,24,94,6.108831,7.3228593,Erebos; the darkness; rájas; riqis,lsj
Ἕκτωρ,441,24,5,15,76,6.5105853,8.433957,,none
Ἕλενος,10,17,5,15,76,7.02923,8.39862,,none
