lemma,sense_id,n_occ,field_hdbscan,field_label,field_ward_25,gloss,top_context_lemmas
ὑψιβρεμέτης,0,1,38,"shooting, far, fingered large, feeding",20,high-thundering,μήτηρ τίκτω μινυνθάδιος τιμή ὀφέλλω Ὀλύμπιος ἐγγυαλίζω Ζεύς
βηλός,0,1,19,"thigh, knee, nail, sheath",12,threshold,ἀλέξω μέμαα ῥίπτω πούς τεταγών θεσπέσιος
ὅρμος2,0,1,8,"sea, earth, land, salt",13,"cord, chain; necklace, collar; anything strung like a necklace, wreath, chaplet; a string",προερέσσω ἐρετμόν
ἀμφιγυήεις,0,1,-1,,20,"with both feet crooked, lame",ἕκαστος καταδύω λαμπρός φάος ἥλιος κατακείω βαίνω οἶκος δῶμα περικλυτός Ἥφαιστος ποιέω
θεσπέσιος,0,1,-1,,18,"divinely sounding, divinely sweet; divinely uttered; decreed; oracular",ἀλέξω μέμαα ῥίπτω πούς τεταγών βηλός
ἀγάννιφος,0,1,39,"unresting snowed, dazzling, deep, confused",20,"much snowed on, snow-capt",εἴρω2 ἔπος Ζεύς τερπικέραυνος εἶμι Ὄλυμπος πείθω
καθεύδω,0,1,32,"sit, stay, leap, stand",4,"lie down to sleep, sleep; to sleep; pass the night; roost",ἀναβαίνω
καθάπτω,0,1,-1,,25,"fasten; fix on, put upon; having made; fast",ἔπος μαλακός
περικλυτός,0,1,38,"shooting, far, fingered large, feeding",20,"famous, renowned; excellent, noble",ἕκαστος καταδύω λαμπρός φάος ἥλιος κατακείω βαίνω οἶκος δῶμα ἀμφιγυήεις Ἥφαιστος ποιέω
τερπικέραυνος,0,1,38,"shooting, far, fingered large, feeding",20,delighting in thunder,εἴρω2 ἔπος Ζεύς εἶμι Ὄλυμπος ἀγάννιφος πείθω
τυτθός,0,1,-1,,21,"little, small, young; a little one; a little, a bit; little",τίνω
κατακείω,0,1,2,"dishonour, bend, alive, awe",6,,ἕκαστος καταδύω λαμπρός φάος ἥλιος βαίνω οἶκος δῶμα περικλυτός ἀμφιγυήεις Ἥφαιστος ποιέω
προερέσσω,0,1,28,"cut, leave, draw, stream",2,row forwards,ὅρμος2 ἐρετμόν
ὀιζυρός,0,1,2,"dishonour, bend, alive, awe",12,"woeful, miserable; wretch!; toilsome, dreary; sorry, wretched, poor",ὠκύμορος πᾶς πέλω
ὀρέγνυμι,0,1,-1,,7,,πολύς μήτηρ φίλος ἀράομαι χείρ
ἐρετμόν,0,1,8,"sea, earth, land, salt",13,oar,ὅρμος2 προερέσσω
εὐνή,0,1,-1,,10,bed; bedding; abode; lair,βάλλω
φάος,0,1,0,"early, morn, light, day",16,light; daylight; day; the light,ἕκαστος καταδύω λαμπρός ἥλιος κατακείω βαίνω οἶκος δῶμα περικλυτός ἀμφιγυήεις Ἥφαιστος ποιέω
πόντος,0,1,8,"sea, earth, land, salt",13,sea; open sea; wide waters; the sea,Ἀχιλλεύς δακρύω ἑταῖρος ἕζομαι λιάζομαι θίς ἅλς1 πολιός ὁράω ἀπείρων
Ὠκεανός,0,1,-1,,14,Oceanus; great River; the great Outward Sea; oceans,Ζεύς ἀμύμων Αἰθίοψ χθιζός βαίνω δαίς1
ἀλέξω,0,1,6,"ward, divide, resolve, apart separate",7,"raákṣati; ward off, turn aside; will ward; off from",μέμαα ῥίπτω πούς τεταγών βηλός θεσπέσιος
ἐγγυαλίζω,0,1,25,"luo, shut, look gaze, loosen",7,"put into the palm of the hand, put into the hand; will put; into; hands",μήτηρ τίκτω μινυνθάδιος τιμή ὀφέλλω Ὀλύμπιος Ζεύς ὑψιβρεμέτης
ἵλαος,0,1,2,"dishonour, bend, alive, awe",10,"propitious, gracious; propitious, blameless, atoned for; gracious, kindly",Ὀλύμπιος
ὀφθαλμός,0,1,11,"know, perceive, better, des",9,eye; eyes; to the eye; sight,ἀνέχω κήδω φίλος εἶδον θείνω
