lemma,freq,hdbscan,ward_40,ward_80,ward_150,x,y
ῥάκος,10,159,1,41,64,4.6095963,12.041447
ῥάπτω,5,198,14,29,68,1.6267859,14.20766
ῥέα,10,-1,0,50,2,2.767329,8.191148
ῥέζω,96,-1,9,22,125,1.3772068,11.191451
ῥέω,49,23,22,57,57,2.4013102,12.439904
ῥήγνυμι,49,186,14,29,28,1.8708456,13.851507
ῥίζα,8,59,6,46,146,5.413478,10.6168785
ῥίμφα,20,-1,0,50,2,2.740958,7.8898544
ῥίον,6,173,11,69,34,4.6648703,11.238389
ῥίπτω,17,198,14,29,68,1.5238044,14.211119
ῥίς,14,195,1,72,72,5.0193043,12.258412
ῥαίω,9,202,7,76,53,0.67298704,12.97709
ῥεῖα,36,-1,0,50,2,2.7378702,7.913773
ῥεῖθρον,23,23,22,57,57,2.7289355,12.206638
ῥηγμίν,13,167,11,23,126,4.4348283,10.642722
ῥηξήνωρ,5,-1,24,49,139,7.626999,8.295561
ῥιγέω,20,228,20,66,32,1.2671723,11.948225
ῥινόν,12,182,12,5,22,5.5534225,11.388537
ῥινός,10,182,12,5,22,5.508773,11.415391
ῥιπή,7,103,10,0,148,3.2700863,10.715994
ῥοή,15,166,22,57,57,4.49237,10.826719
ῥοδοδάκτυλος,23,115,29,14,124,2.0043225,9.321545
ῥυμός,6,182,12,5,22,5.4845724,11.441823
ῥυπάω,5,201,10,7,4,1.6111267,11.801045
ῥυτήρ,5,48,23,13,84,3.66373,10.813483
ῥωγαλέος,6,130,0,50,1,3.1246488,8.792716
ῥόος,26,-1,22,57,57,3.782208,11.528249
ῥόπαλον,5,158,1,8,96,4.7071605,11.849529
ῥύομαι,31,152,7,76,53,0.9405065,13.1523075
ῥώομαι,9,185,14,16,59,1.4044639,13.003883
ῥᾴδιος,29,-1,0,50,2,2.5523357,8.025084
ῥῆγος,13,112,1,41,66,4.5126934,12.449143
